"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
304973,"NZ-GIS","GIS","Gisborne Region","OC","NZ","https://en.wikipedia.org/wiki/Gisborne,_New_Zealand#Gisborne_or_East_Coast_region","East Coast Region, Eastland"
304974,"NZ-HKB","HKB","Hawke's Bay Region","OC","NZ","https://en.wikipedia.org/wiki/Hawke%27s_Bay",
304975,"NZ-MBH","MBH","Marlborough Region","OC","NZ","https://en.wikipedia.org/wiki/Marlborough,_New_Zealand",
304976,"NZ-MWT","MWT","Manawatu-Wanganui Region","OC","NZ","https://en.wikipedia.org/wiki/Manawatu-Wanganui",
304977,"NZ-NSN","NSN","Nelson Region","OC","NZ","https://en.wikipedia.org/wiki/Nelson,_New_Zealand",
304978,"NZ-NTL","NTL","Northland Region","OC","NZ","https://en.wikipedia.org/wiki/Northland_Region",
304979,"NZ-OTA","OTA","Otago Region","OC","NZ","https://en.wikipedia.org/wiki/Otago",
304980,"NZ-STL","STL","Southland Region","OC","NZ","https://en.wikipedia.org/wiki/Southland_Region",
304981,"NZ-TAS","TAS","Tasman Region","OC","NZ","https://en.wikipedia.org/wiki/Tasman_Region",
304982,"NZ-TKI","TKI","Taranaki Region","OC","NZ","https://en.wikipedia.org/wiki/Taranaki",
304983,"NZ-U-A","U-A","(unassigned)","OC","NZ",,
304984,"NZ-WGN","WGN","Wellington Region","OC","NZ","https://en.wikipedia.org/wiki/Wellington_Region",
304985,"NZ-WKO","WKO","Waikato Region","OC","NZ","https://en.wikipedia.org/wiki/Waikato",
304986,"NZ-WTC","WTC","West Coast Region","OC","NZ","https://en.wikipedia.org/wiki/West_Coast,_New_Zealand",
304987,"OM-BA","BA","Al Batinah Governorate","AS","OM","https://en.wikipedia.org/wiki/Al_Batinah_Governorate",
317030,"OM-BU","BU","Al Buraimi Governorate","AS","OM","https://en.wikipedia.org/wiki/Al_Buraimi_Governorate","البريمي‎"
304988,"OM-DA","DA","Ad Dakhillyah Governorate","AS","OM","https://en.wikipedia.org/wiki/Ad_Dakhillyah_Governorate",
304990,"OM-MA","MA","Masqat Governorate","AS","OM","https://en.wikipedia.org/wiki/Masqat_Governorate",
